snapshot_ts_utc,snapshot_type,sport,event_id,commence_time,home_team,away_team,bookmaker,last_update,market,outcome,price,point
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,draftkings,2026-09-20T19:45:25Z,spreads,New England Patriots,-547,-16.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,draftkings,2026-09-20T19:45:25Z,spreads,Pittsburgh Steelers,381,16.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,draftkings,2026-09-20T19:45:25Z,totals,Over,181,23.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,draftkings,2026-09-20T19:45:25Z,totals,Under,-243,23.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,fanduel,2026-09-20T19:45:45Z,spreads,New England Patriots,-650,-16.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,fanduel,2026-09-20T19:45:45Z,spreads,Pittsburgh Steelers,390,16.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,fanduel,2026-09-20T19:45:45Z,totals,Over,178,23.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,fanduel,2026-09-20T19:45:45Z,totals,Under,-245,23.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,betmgm,2026-09-20T19:45:25Z,spreads,New England Patriots,-600,-16.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,betmgm,2026-09-20T19:45:25Z,spreads,Pittsburgh Steelers,380,16.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,betmgm,2026-09-20T19:45:25Z,totals,Over,230,23.5
2026-09-20T19:46:24+00:00,manual,nfl,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,betmgm,2026-09-20T19:45:25Z,totals,Under,-325,23.5
